Image,Scale (pixels/mm),Pore Type,Region,Cortical Area (um^2),Cortical Area (mm^2),% Cortical Area,Bone Area (um^2),Bone Area (mm^2),% Bone Area,Percent Porosity (%),Pore Density (1/um^2),Pore Density (1/mm^2),Total Pore Number,Total Pore Area (um^2),Mean Pore Area (um^2),Mean Pore Perimeter (um),Mean Pore Ellipse Major Axis (um),Mean Pore Ellipse Minor Axis (um),Mean Pore Major Axis Angle (um),Mean Pore Circularity,Mean Pore Max Feret Diameter (um),Mean Pore Max Feret X (um),Mean Pore Max Feret Y (um),Mean Pore Feret Angle (degree),Mean Min Pore Feret Diameter (um),Mean Pore Aspect Ratio,Mean Pore Roundness,Mean Pore Solidity
Sample_Rib,581,Total,Cutaneous,10028682.2,10.0287,19.1758,9208060.17,9.2081,17.6067,8.1828,0.00001566,15.6551,157,820622.05,5226.892,250.1615,88.815,52.6164,82.9817,0.7709,92.5107,2994.0764,1062.7389,86.9924,55.8001,1.839,0.6341,0.9223
Sample_Rib,581,Total,Pleural,11804909.3,11.8049,22.5721,11248879.5,11.2489,21.5089,4.7102,0.00001254,12.5372,148,556029.873,3756.9586,208.7421,72.8137,44.8586,86.5499,0.798,76.8858,3160.6554,3622.4122,92.0145,47.203,1.7628,0.6687,0.918
Sample_Rib,581,Cortical,Cutaneous,10028682.2,10.0287,19.1758,9413463.05,9.4135,17.9994,6.1346,0.00001486,14.8574,149,615219.175,4128.9877,234.6039,84.2777,49.0507,82.8334,0.7727,87.5427,3026.9732,1049.906,86.9426,52.0036,1.8455,0.6351,0.9217
Sample_Rib,581,Cortical,Pleural,11804909.3,11.8049,22.5721,11412221.8,11.4122,21.8212,3.3265,0.00001228,12.283,145,392687.544,2708.19,190.7303,67.251,42.2894,86.9041,0.8038,70.0259,3188.7862,3628.1862,92.4123,44.041,1.7477,0.6716,0.9213
Sample_Rib,581,Trabecularized,Cutaneous,10028682.2,10.0287,19.1758,9823279.35,9.8233,18.783,2.0482,7.9771E-7,0.7977,8,205402.875,25675.3594,539.9229,173.3235,119.0269,85.7432,0.7386,185.0405,2381.375,1301.75,87.9199,126.5107,1.7177,0.6157,0.933
Sample_Rib,581,Trabecularized,Pleural,11804909.3,11.8049,22.5721,11641567,11.6416,22.2597,1.3837,2.5413E-7,0.2541,3,163342.329,54447.4429,1079.3109,341.6785,169.0382,69.4296,0.5149,408.4467,1801,3343.3333,72.791,200.0366,2.4902,0.5296,0.7573
