Pore,Region,Area (um^2),Centroid X (um),Centroid Y (um),Perimeter (um),Ellipse Major Axis (um),Ellipse Minor Axis (um),Major Axis Angle (degree),Circularity,Max Feret Diameter (um),Max Feret X (um),Max Feret Y (um),Feret Angle (degree),Min Feret Diameter (um),Aspect Ratio,Roundness,Solidity,Pore Type
233,Cutaneous,1890.029,2739.871,1757.625,209.741,98.643,24.396,10.794,0.540,96.016,1564,1029,14.534,25.501,4.043,0.247,0.959,Cortical
234,Cutaneous,11535.693,1891.938,1690.224,561.460,243.823,60.239,10.007,0.460,237.945,1032,1003,14.237,65.128,4.048,0.247,0.913,Cortical
235,Cutaneous,2138.873,1683.665,1707.997,167.957,57.136,47.664,11.670,0.953,60.535,960,997,14.826,48.574,1.199,0.834,0.976,Cortical
236,Cutaneous,216.257,1164.725,2148.811,64.468,19.281,14.281,84.949,0.654,22.042,673,1254,51.340,15.491,1.350,0.741,0.802,Cortical
237,Cutaneous,500.650,1171.582,2246.998,84.531,30.385,20.979,64.963,0.880,32.338,677,1314,64.799,22.860,1.448,0.691,0.913,Cortical
238,Cutaneous,3726.734,1082.184,1960.447,326.372,109.379,43.382,44.674,0.440,112.391,606,1162,40.030,48.858,2.521,0.397,0.873,Cortical
239,Cutaneous,1395.303,1020.901,2164.193,276.163,109.626,16.206,32.887,0.230,119.556,560,1276,30.256,21.253,6.765,0.148,0.726,Cortical
240,Cutaneous,101572.753,917.818,2812.630,1483.584,381.250,339.217,105.504,0.580,439.792,494,1501,108.010,370.481,1.124,0.890,0.886,Trabecularized
241,Cutaneous,1581.936,660.733,2823.380,193.159,87.256,23.084,126.972,0.533,89.252,365,1619,129.523,25.361,3.780,0.265,0.939,Cortical
242,Cutaneous,4022.977,503.484,3225.369,269.207,100.382,51.027,47.089,0.698,102.261,270,1893,43.636,54.767,1.967,0.508,0.923,Cortical
243,Pleural,826.517,839.700,4751.970,128.274,52.053,20.217,105.451,0.631,52.432,481,2747,113.199,22.071,2.575,0.388,0.904,Cortical
244,Pleural,12365.173,975.680,5028.277,964.542,259.116,60.760,130.846,0.167,377.411,501,2823,136.478,109.889,4.265,0.234,0.413,Trabecularized
245,Pleural,2058.887,1200.016,5352.903,170.661,55.070,47.602,61.421,0.888,57.858,688,3124,59.621,49.221,1.157,0.864,0.953,Cortical
246,Pleural,468.063,1762.696,6078.422,96.284,41.645,14.311,60.841,0.634,40.803,1019,3542,62.354,16.383,2.910,0.344,0.856,Cortical
247,Pleural,675.433,2973.669,6007.851,107.029,37.181,23.130,64.532,0.741,37.787,1721,3499,59.931,27.248,1.607,0.622,0.867,Cortical
248,Pleural,613.222,3393.994,6745.346,92.424,32.176,24.266,89.148,0.902,33.816,1970,3910,104.744,24.096,1.326,0.754,0.939,Cortical
249,Pleural,1555.274,3389.816,6837.340,150.598,47.416,41.763,141.234,0.862,51.087,1956,3964,147.381,43.814,1.135,0.881,0.929,Cortical
250,Pleural,1972.977,3623.534,6781.569,386.390,106.895,23.500,145.340,0.166,112.391,2076,3926,152.650,33.893,4.549,0.220,0.624,Cortical
251,Pleural,2307.731,3468.438,6377.375,202.549,79.856,36.795,46.012,0.707,77.834,2003,3724,54.904,37.206,2.170,0.461,0.902,Cortical
252,Pleural,2781.720,3315.541,6390.320,208.181,70.713,50.087,132.926,0.807,73.528,1916,3693,122.574,50.617,1.412,0.708,0.935,Cortical
253,Pleural,802.818,4140.517,6969.752,250.814,82.019,12.463,35.793,0.160,98.634,2381,4061,29.249,21.701,6.581,0.152,0.497,Cortical
254,Pleural,577.673,4609.246,6193.649,135.403,54.057,13.606,19.299,0.396,55.613,2664,3605,21.801,16.873,3.973,0.252,0.769,Cortical
255,Pleural,25313.943,4708.346,6086.280,634.727,192.773,167.195,53.380,0.790,216.738,2706,3597,55.679,172.891,1.153,0.867,0.946,Trabecularized
256,Pleural,234.032,4966.067,6965.805,55.740,20.360,14.636,23.184,0.947,21.566,2880,4050,28.610,15.491,1.391,0.719,0.929,Cortical
257,Pleural,394.003,5429.315,7142.592,75.803,26.976,18.597,167.397,0.862,28.852,3147,4146,162.646,18.933,1.451,0.689,0.908,Cortical
258,Pleural,12003.756,5237.416,6227.189,444.074,130.500,117.116,120.106,0.765,134.923,3030,3583,113.295,119.155,1.114,0.897,0.965,Cortical
259,Pleural,337.717,5809.947,6816.408,74.795,28.518,15.078,67.038,0.759,28.646,3372,3968,57.265,16.519,1.891,0.529,0.860,Cortical
260,Pleural,6875.794,5829.768,6430.654,515.182,206.673,42.359,24.201,0.326,223.096,3316,3761,22.212,56.146,4.879,0.205,0.722,Cortical
261,Pleural,2935.766,6175.114,6097.597,213.467,70.282,53.185,118.650,0.810,73.286,3582,3522,99.462,54.466,1.321,0.757,0.938,Cortical
262,Pleural,6232.948,6429.817,5775.238,290.635,105.628,75.132,49.670,0.927,107.017,3719,3380,62.199,73.562,1.406,0.711,0.980,Cortical
263,Pleural,1122.760,6743.171,5588.761,159.326,46.072,31.028,137.673,0.556,52.686,3905,3235,141.632,33.391,1.485,0.673,0.875,Cortical
264,Pleural,3338.656,6539.576,6014.314,211.310,71.082,59.803,23.497,0.940,72.942,3777,3497,19.290,57.855,1.189,0.841,0.982,Cortical
265,Pleural,11550.505,6585.141,6679.852,453.321,184.274,79.808,14.807,0.706,181.842,3776,3899,17.063,82.490,2.309,0.433,0.956,Cortical
266,Pleural,553.974,6527.824,7012.679,113.323,31.216,22.595,15.365,0.542,36.794,3781,4073,169.216,23.332,1.381,0.724,0.784,Cortical
267,Pleural,1069.436,6656.546,7144.843,318.927,93.211,14.608,9.832,0.132,140.768,3820,4162,11.997,21.414,6.381,0.157,0.551,Cortical
268,Pleural,1416.040,6992.564,6163.230,259.053,92.016,19.594,115.782,0.265,98.453,4048,3563,126.469,31.154,4.696,0.213,0.627,Cortical
269,Pleural,1149.422,7269.816,6173.315,130.952,42.286,34.610,49.040,0.842,44.883,4217,3598,57.529,36.511,1.222,0.819,0.932,Cortical
270,Pleural,2858.743,7860.418,6315.016,203.486,67.859,53.639,167.570,0.868,71.403,4547,3663,164.624,55.078,1.265,0.790,0.951,Cortical
271,Pleural,1709.321,7528.359,5978.620,181.824,61.187,35.569,35.550,0.650,63.474,4360,3485,49.399,37.851,1.720,0.581,0.882,Cortical
272,Pleural,346.604,7391.699,5819.387,75.803,24.430,18.064,10.591,0.758,27.806,4287,3384,21.801,17.212,1.352,0.739,0.897,Cortical
273,Pleural,1730.058,7955.421,5816.616,170.661,62.372,35.317,75.100,0.746,64.308,4616,3397,74.476,37.866,1.766,0.566,0.942,Cortical
274,Pleural,2562.500,8184.395,5345.079,202.305,58.779,55.508,67.708,0.787,63.962,4747,3123,66.194,56.190,1.059,0.944,0.915,Cortical
275,Pleural,1253.107,8880.904,5435.731,141.279,50.905,31.343,44.836,0.789,53.771,5150,3170,50.194,33.735,1.624,0.616,0.923,Cortical
276,Pleural,5059.826,8843.228,5166.059,283.149,91.385,70.497,169.474,0.793,96.524,5110,2992,158.009,72.289,1.296,0.771,0.953,Cortical
277,Pleural,1925.578,9123.617,4667.766,333.502,121.707,20.144,149.275,0.218,119.370,5271,2697,151.587,28.549,6.042,0.166,0.631,Cortical
278,Pleural,411.777,9359.198,4783.262,110.054,39.824,13.165,108.370,0.427,41.594,5431,2769,114.444,14.658,3.025,0.331,0.808,Cortical
279,Pleural,690.246,9651.744,4901.786,128.936,31.133,28.229,79.933,0.522,36.794,5605,2836,100.784,30.981,1.103,0.907,0.808,Cortical
280,Cutaneous,1821.893,9852.577,3956.029,273.067,86.523,26.810,123.417,0.307,87.102,5712,2275,119.605,32.945,3.227,0.310,0.801,Cortical
281,Pleural,12234.826,9598.548,4716.813,538.793,249.884,62.340,67.971,0.530,249.053,5549,2807,66.801,63.859,4.008,0.249,0.963,Cortical
282,Cutaneous,411.777,9967.725,3837.226,74.795,25.794,20.326,78.451,0.925,27.214,5789,2237,71.565,20.654,1.269,0.788,0.924,Cortical
283,Cutaneous,1241.257,9996.679,3882.207,133.674,47.081,33.568,52.321,0.873,50.032,5796,2263,40.815,34.502,1.403,0.713,0.979,Cortical
284,Cutaneous,619.147,9433.154,3720.820,144.722,43.353,18.184,101.374,0.371,55.104,5477,2148,104.470,20.654,2.384,0.419,0.749,Cortical
285,Cutaneous,239.957,9724.942,3634.974,64.468,18.741,16.302,47.325,0.726,20.797,5647,2117,65.556,17.212,1.150,0.870,0.853,Cortical
286,Cutaneous,2245.520,9908.060,3487.625,177.129,57.504,49.720,88.113,0.899,59.349,5750,2010,106.858,49.914,1.157,0.865,0.951,Cortical
287,Cutaneous,3430.491,9788.240,2876.810,264.512,81.641,53.500,84.538,0.616,93.531,5682,1700,77.243,58.520,1.526,0.655,0.855,Cortical
288,Cutaneous,5098.338,9714.132,2656.095,285.166,86.743,74.835,8.655,0.788,94.711,5616,1548,19.093,75.731,1.159,0.863,0.930,Cortical
289,Cutaneous,1824.855,9354.729,2581.831,324.457,112.223,20.704,162.469,0.218,124.651,5404,1489,162.316,29.994,5.420,0.184,0.619,Cortical
290,Cutaneous,3868.930,8887.893,2089.177,228.835,71.579,68.820,33.833,0.928,76.452,5146,1228,31.185,69.668,1.040,0.961,0.959,Cortical
291,Cutaneous,660.621,8399.423,1957.600,99.727,35.877,23.445,143.972,0.835,37.235,4870,1133,146.310,26.171,1.530,0.653,0.912,Cortical
292,Cutaneous,722.832,8594.354,1768.771,121.216,44.463,20.699,161.235,0.618,47.946,4981,1023,158.963,26.411,2.148,0.466,0.824,Cortical
293,Cutaneous,6783.959,8489.789,1551.104,321.677,104.904,82.338,121.122,0.824,106.267,4919,874,114.905,83.755,1.274,0.785,0.964,Cortical
294,Cutaneous,5661.199,7856.814,1675.387,339.235,135.697,53.119,11.653,0.618,140.421,4528,979,11.310,58.007,2.555,0.391,0.951,Cortical
295,Cutaneous,559.899,7701.769,1040.101,95.612,37.666,18.926,35.466,0.770,40.144,4462,609,30.964,20.690,1.990,0.502,0.887,Cortical
296,Cutaneous,56902.308,7002.480,1527.120,985.125,337.730,214.521,81.665,0.737,347.357,4024,976,75.069,218.394,1.574,0.635,0.963,Trabecularized
297,Cutaneous,4621.387,6838.125,1758.397,299.597,92.444,63.651,10.976,0.647,95.428,3945,1025,172.747,66.716,1.452,0.689,0.912,Cortical
298,Cutaneous,1279.769,6399.814,1611.243,141.870,52.920,30.791,73.460,0.799,54.997,3713,952,69.864,32.390,1.719,0.582,0.933,Cortical
299,Cutaneous,20037.860,6214.435,1458.323,566.543,174.347,146.335,92.906,0.784,190.856,3600,792,97.253,150.867,1.191,0.839,0.946,Trabecularized
300,Cutaneous,402.890,6554.938,947.277,74.795,24.724,20.748,86.251,0.905,26.720,3807,543,104.931,20.654,1.192,0.839,0.919,Cortical
301,Cutaneous,5234.609,5743.174,791.684,395.101,185.375,35.954,113.176,0.421,178.637,3313,409,115.084,43.160,5.156,0.194,0.847,Cortical
302,Cutaneous,266.618,4730.044,1207.305,84.114,30.872,10.996,99.454,0.474,33.107,2746,692,98.973,13.358,2.808,0.356,0.766,Cortical
303,Cutaneous,509.538,5596.035,1413.771,108.037,28.055,23.125,35.794,0.549,32.475,3243,827,32.005,25.123,1.213,0.824,0.852,Cortical
304,Cutaneous,5142.774,4689.131,1418.868,330.232,122.898,53.280,55.993,0.593,131.948,2704,863,59.421,57.629,2.307,0.433,0.941,Cortical
