Pore,Region,Area (um^2),Centroid X (um),Centroid Y (um),Perimeter (um),Ellipse Major Axis (um),Ellipse Minor Axis (um),Major Axis Angle (degree),Circularity,Max Feret Diameter (um),Max Feret X (um),Max Feret Y (um),Feret Angle (degree),Min Feret Diameter (um),Aspect Ratio,Roundness,Solidity,Pore Type
136,Pleural,2758.020,2035.546,5743.680,217.500,82.866,42.377,149.251,0.733,86.983,1162,3327,152.928,47.465,1.956,0.511,0.923,Cortical
137,Pleural,1952.240,8666.214,5777.730,163.186,56.654,43.874,43.126,0.921,57.858,5021,3365,30.379,43.814,1.291,0.774,0.957,Cortical
138,Pleural,965.751,1672.988,5807.034,115.339,42.807,28.725,145.173,0.912,43.983,961,3367,149.421,30.074,1.490,0.671,0.944,Cortical
139,Pleural,1353.829,4472.499,5845.364,141.452,49.062,35.134,0.217,0.850,51.174,2583,3399,19.654,36.145,1.396,0.716,0.937,Cortical
140,Pleural,39658.017,5837.395,5977.356,794.298,243.195,207.629,83.665,0.790,262.398,3384,3406,97.918,213.425,1.171,0.854,0.946,Cortical
141,Pleural,1096.098,4131.591,5878.639,128.274,51.966,26.856,175.304,0.837,50.971,2386,3412,168.311,25.818,1.935,0.517,0.961,Cortical
142,Pleural,2935.766,8133.040,5916.320,284.157,125.400,29.808,158.270,0.457,122.506,4694,3425,155.956,34.324,4.207,0.238,0.842,Cortical
143,Pleural,125663.213,4006.091,6061.711,1638.663,573.147,279.159,24.062,0.588,631.191,2196,3610,26.216,317.330,2.053,0.487,0.913,Trabecularized
144,Pleural,15846.025,7021.667,5974.614,625.755,175.451,114.994,160.660,0.508,192.094,4030,3435,143.746,122.788,1.526,0.655,0.857,Cortical
145,Pleural,2103.323,5054.115,5942.974,177.719,57.601,46.493,60.826,0.837,62.651,2922,3464,37.185,47.429,1.239,0.807,0.928,Cortical
146,Pleural,1910.766,2273.467,5935.114,183.005,74.332,32.730,2.415,0.717,74.509,1299,3446,173.368,34.946,2.271,0.440,0.918,Cortical
147,Pleural,6330.708,8258.062,5991.024,295.910,96.758,83.306,117.125,0.908,99.486,4782,3457,120.114,85.821,1.161,0.861,0.970,Cortical
148,Pleural,785.043,8512.295,5974.017,102.161,36.182,27.625,43.404,0.945,37.787,4936,3476,30.069,27.992,1.310,0.763,0.955,Cortical
149,Pleural,3214.234,5387.510,6027.448,223.132,84.906,48.200,83.219,0.811,87.442,3125,3528,79.796,48.193,1.762,0.568,0.958,Cortical
150,Pleural,936.127,8692.956,6001.438,112.905,39.482,30.189,0.414,0.923,40.912,5039,3489,14.621,30.981,1.308,0.765,0.939,Cortical
151,Pleural,3294.219,3162.233,6121.954,213.395,67.017,62.586,49.792,0.909,71.734,1819,3568,30.256,63.683,1.071,0.934,0.961,Cortical
